Account Name,Phone,Country,Email,Date
Burlington Textiles  â€“ Corp of America,(336) 222-7000,USA,burlington.textile@usa.com,12/14/2020
Dickenson plc,(785) 241-6200,USA,dickenson@plc.com,12/14/2020
Edge Communications,(512-757-6000),France,Edge_comm@edge.com,12/14/2020
Express Logistics and Transport,(503) 421-7800,France,09company@.com,12/14/2020
GenePoint,(650)-867-3450,India,gene_point78@mail.com,12/14/2020
Grand Hotels & Resorts Ltd,(312) 596-1000,India,GrandHoltel@resort.com,12/14/2020
Pyramid Construction Inc.,(014) 427-4427,France,Pyramid@construct.com,12/14/2020
sForce  â€“,(415) 901-7000,USA,company.kg_@.com,12/14/2020
Test Account,(999) 999-9999,USA,company.hp@lnkd.com,9/7/2021
Test Account 001,(999) 999-9999,USA,Test.Account001@mail.com,9/7/2021
Test Account 002,(999) 999-9999,India,Test.Account002@mail.com,9/7/2021
Demo Account 003,1235456789,UK,Test.Account003@mail.com,4.7/2021
dEMo Account 004,(999) 999-9999,India,Test.Account004@mail.com,9/7/2021
Test Account 005,(999) 999-9999,France,Test.Account005@mail.com,9/7/2021
Test Account 006,9999999959,UK,Test.Account006@mail.com,9/8/2021
"United Oil & Gas, Singapore",(650) 450-8810,UK,gas44@oil.com,11.14.2020
"United Oil & GasÂ , UK", 191 4956203,UK,gas_49@oil.com,12$14$2020
United Oil & GasÂ  Corp.,(212) 842-5500,USA,gas.54@oil.com,12/14/2020
University of Arizona,(520) 773-9050,USA,arizona@school.com,12/14/2020
Burlington Textiles  â€“ Corp of America,(336) 225-7000,USA,burlington.textile@usa.com,12/14/2020
Dickenson plc,(785) 241-6200,USA,dickenson@plc.com,12/14*2020
Edge Communications,(512) 757-6000,France,Edge_comm@edge.com,12/14/2020
Express Logistics and Transport,(503) 421-7670,France,,12/14/2020
GenePoint,(650) 867-3450,India,gene_point78@mail.com,
Grand Hotels & Resorts Ltd,(312) 596-1000,India,GrandHoltel@resort.com,
Pyramid Construction Inc.,(014) 445-4427,France,Pyramid@construct.com,
sForce  â€“,(415) 901-4000,USA,sforce@email.com,
Test Account,(99)9999.9999,USA,,
Test Account 001,(999) 999-8999,USA,Test.Account001@mail.com,12$14$2020
Test Account 002,345.674.9075,India,Test.Account002@mail.com,12#14#2020
Demo Account 003,1235456779,UK,Test.Account003@mail.com,12/14/2020
dEMo Account 004,(999) 999-9999,India,Test.Account004@mail.com,12/14/2020
Test Account 005,(999) 999-9999,France,Test.Account005@mail.com,12/14/2020
Test Account 006,9999999959,UK,Test.Account006@mail.com,9/7/2021
"United Oil & Gas, Singapore",(650) 450-8910,UK,gas44@oil.com,9/7/2021
"United Oil & GasÂ , UK",191 4956203,UK,gas_49@oil.com,9/7/2021
United Oil & GasÂ  Corp.,(212) 842-5500,USA,,9/7/2021
University of Arizona,(520) 773-9050,USA,arizona@school.edu,9/7/2021
Pyramid Construction Inc.,(014) 427-4427,France,Pyramid@construct.com,12/14/2020
sForce  â€“,(415) 901-7000,USA,company.kg_@.com,12/14/2020
Test Account,(999) 999-9999,USA,company.hp@lnkd.com,9/7/2021
Test Account 001,(999) 999-9999,USA,Test.Account001@mail.com,9/7/2021
sample customer,1234536789,India,test@company.com,4/5.2019
sample customer 2,1234562789,India,test@company.com,4/5.2019
sampler 3,1234546789,India,test@company.com,4/5.2019
sAMPle customer 4,1234526789,India,test@company.com,4/5.2019
